 (Half Day),（半天）
Make Invoice,使發票
Make Maint. Schedule,讓MAINT。時間表
Make Maint. Visit,讓MAINT。訪問
Make Maintenance Visit,使維護訪問
Make Packing Slip,使裝箱單
Make Payment Entry,使付款輸入
Make Purchase Invoice,做出購買發票
Make Purchase Order,做採購訂單
Make Purchase Receipt,券＃
Make Salary Slip,使工資單
Make Salary Structure,使薪酬結構
Make Sales Invoice,做銷售發票
Make Sales Order,使銷售訂單
Make Supplier Quotation,讓供應商報價
Male,男性
Manage 3rd Party Backups,管理第三方備份
Manage cost of operations,管理運營成本
Manage exchange rates for currency conversion,管理匯率貨幣兌換
"Mandatory if Stock Item is ""Yes"". Also the default warehouse where reserved quantity is set from Sales Order.",如果股票的強制性項目為“是”。也是默認倉庫，保留數量從銷售訂單設置。
Manufacture against Sales Order,對製造銷售訂單
Manufacture/Repack,製造/重新包裝
Manufactured Qty,生產數量
Manufactured quantity will be updated in this warehouse,生產量將在這個倉庫進行更新
Manufacturer,生產廠家
Manufacturer Part Number,製造商零件編號
Manufacturing,製造業
Manufacturing Quantity,生產數量
Manufacturing Quantity is mandatory,付款方式
Margin,餘量
Marital Status,婚姻狀況
Market Segment,市場分類
Married,已婚
Mass Mailing,郵件群發
Master Data,主數據
Master Name,主名稱
Master Name is mandatory if account type is Warehouse,主名稱是強制性的，如果帳戶類型為倉庫
Master Type,碩士
Masters,大師
Match non-linked Invoices and Payments.,匹配非聯的發票和付款。
Material Issue,材料問題
Material Receipt,材料收據
Material Request,材料要求
Material Request Detail No,材料要求詳細說明暫無
Material Request For Warehouse,申請材料倉庫
Material Request Item,材料要求項
Material Request Items,材料要求項
Material Request No,材料請求無
Material Request Type,材料請求類型
Material Request used to make this Stock Entry,材料要求用來做這個股票輸入
Material Requests for which Supplier Quotations are not created,對於沒有被創建供應商報價的材料要求
Material Requirement,物料需求
Material Transfer,材料轉讓
Materials,物料
Materials Required (Exploded),所需材料（分解）
Max 500 rows only.,最大500行而已。
Max Days Leave Allowed,最大天假寵物
Max Discount (%),最大折讓（％）
Max Returnable Qty,1貨幣= [？]分數
Medium,中
"Merging is only possible if following \
					properties are same in both records.
					Group or Ledger, Debit or Credit, Is PL Account",
Message,信息
Message Parameter,消息參數
Message Sent,發送消息
Messages,消息
Messages greater than 160 characters will be split into multiple messages,：它與其他活動的BOM （ S）
Middle Income,中等收入
Milestone,里程碑
Milestone Date,里程碑日期
Milestones,里程碑
Milestones will be added as Events in the Calendar,里程碑將被添加為日曆事件
Min Order Qty,最小訂貨量
Minimum Order Qty,最低起訂量
Misc Details,其它詳細信息
Miscellaneous,雜項
Miscelleneous,Miscelleneous
Mobile No,手機號碼
Mobile No.,手機號碼
Mode of Payment,付款方式
Modern,現代
Modified Amount,修改金額
Monday,星期一
Month,月
Monthly,每月一次
Monthly Attendance Sheet,每月考勤表
Monthly Earning & Deduction,每月入息和扣除
Monthly Salary Register,月薪註冊
Monthly salary statement.,月薪聲明。
Monthly salary template.,月薪模板。
More Details,更多詳情
More Info,更多信息
Moving Average,移動平均線
Moving Average Rate,移動平均房價
Mr,先生
Ms,女士
Multiple Item prices.,多個項目的價格。
Multiple Price list.,多重價格清單。
Must be Whole Number,必須是整數
My Settings,我的設置
NL-,NL-
Name,名稱
Name and Description,名稱和說明
Name and Employee ID,姓名和僱員ID
Name is required,名稱是必需的
"Name of new Account. Note: Please don't create accounts for Customers and Suppliers,",新帳戶的名稱。注：請不要創建帳戶客戶和供應商，
Name of person or organization that this address belongs to.,的人或組織該地址所屬的命名。
Name of the Budget Distribution,在預算分配的名稱
Naming Series,命名系列
Negative balance is not allowed for account ,負平衡是不允許的帳戶
Net Pay,淨收費
Net Pay (in words) will be visible once you save the Salary Slip.,淨收費（字）將會看到，一旦你保存工資單。
Net Total,總淨
Net Total (Company Currency),總淨值（公司貨幣）
Net Weight,淨重
Net Weight UOM,淨重計量單位
Net Weight of each Item,每個項目的淨重
Net pay can not be negative,淨工資不能為負
Never,從來沒有
New,新
New ,新
New Account,新帳號
New Account Name,新帳號名稱
New BOM,新的物料清單
New Communications,新通訊
New Company,新公司
New Cost Center,新的成本中心
New Cost Center Name,新的成本中心名稱
New Delivery Notes,新交付票據
New Enquiries,新的查詢
New Leads,新信息
New Leave Application,新假期申請
New Leaves Allocated,分配新葉
New Leaves Allocated (In Days),分配（天）新葉
New Material Requests,新材料的要求
New Projects,新項目
New Purchase Orders,新的採購訂單
New Purchase Receipts,新的購買收據
New Quotations,新語錄
New Sales Orders,新的銷售訂單
"New Serial No cannot have Warehouse. Warehouse must be \
				set by Stock Entry or Purchase Receipt",
New Stock Entries,新貨條目
New Stock UOM,新的庫存計量單位
New Supplier Quotations,新供應商報價
New Support Tickets,新的客服支援回報單
New Workplace,職場新人
Newsletter,通訊
Newsletter Content,通訊內容
Newsletter Status,通訊狀態
"Newsletters to contacts, leads.",通訊，聯繫人，線索。
Next Communcation On,下一步通信電子在
Next Contact By,接著聯繫到
Next Contact Date,下一步聯絡日期
Next Date,下一個日期
Next email will be sent on:,接下來的電子郵件將被發送：
No,無
No Action,無動作
No Customer Accounts found.,沒有客戶帳戶發現。
"No Customer or Supplier Accounts found. Accounts are identified based on \
			'Master Type' value in account record.",
No Item found with ,序號項目與發現
No Items to Pack,無項目包
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user.,沒有請假審批。請指定&#39;休假審批的角色，以ATLEAST一個用戶。
No Permission,無權限
No Production Order created.,要使用這個分佈分配預算，設置這個**預算分配**的**成本中心**
No Supplier Accounts found. Supplier Accounts are identified based on 'Master Type' value in account record.,＃，＃＃ ＃ ＃＃＃
No accounting entries for following warehouses,沒有對下述倉庫會計分錄
No addresses created,沒有發起任何地址
No contacts created,沒有發起任何接觸
No default BOM exists for item: ,沒有默認的BOM存在項目：
No of Requested SMS,無的請求短信
No of Sent SMS,沒有發送短信
No of Visits,沒有訪問量的
No record found,沒有資料
No salary slip found for month: ,沒有工資單上發現的一個月：
Not,不
Not Active,不活躍
Not Applicable,不適用
Not Available,不可用
Not Billed,不發單
Not Delivered,未交付
Not Set,沒有設置
Not allowed entry in Warehouse,在倉庫不准入境
Note,注
Note User,注意用戶
Note is a free page where users can share documents / notes,Note是一款免費的網頁，用戶可以共享文件/筆記
Note:,注意：
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.",注意：備份和文件不會從Dropbox的刪除，你將不得不手動刪除它們。
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.",注意：備份和文件不能從谷歌驅動器中刪除，你將不得不手動刪除它們。
Note: Email will not be sent to disabled users,注：電子郵件將不會被發送到用戶禁用
Notes,筆記
Notes:,注意事項：
Nothing to request,9 。這是含稅的基本價格：？如果您檢查這一點，就意味著這個稅不會顯示在項目表中，但在你的主項表將被納入基本速率。你想要給一個單位價格（包括所有稅費）的價格為顧客這是有用的。
Notice (days),通告（天）
Notification Control,通知控制
Notification Email Address,通知電子郵件地址
Notify by Email on creation of automatic Material Request,在創建自動材料通知要求通過電子郵件
Number Format,數字格式
O+,O +
O-,O-
OPPT,OPPT
Offer Date,要約日期
Office,辦公室
Old Parent,老家長
On,上
On Net Total,在總淨
On Previous Row Amount,在上一行金額
On Previous Row Total,在上一行共
"Only Serial Nos with status ""Available"" can be delivered.",只有串行NOS與狀態“可用”可交付使用。
Only Stock Items are allowed for Stock Entry,只股票項目所允許的股票輸入
Only leaf nodes are allowed in transaction,只有葉節點中允許交易
Open,開
Open Production Orders,清生產訂單
Open Tickets,開放門票
Opening,開盤
Opening Accounting Entries,開幕會計分錄
Opening Accounts and Stock,開戶和股票
Opening Date,開幕日期
Opening Entry,開放報名
Opening Qty,開放數量
Opening Time,開放時間
Opening Value,開度值
Opening for a Job.,開放的工作。
Operating Cost,營業成本
Operation Description,操作說明
Operation No,操作無
Operation Time (mins),操作時間（分鐘）
Operations,操作
Opportunity,機會
Opportunity Date,日期機會
Opportunity From,從機會
Opportunity Item,項目的機會
Opportunity Items,項目的機會
Opportunity Lost,失去的機會
Opportunity Type,機會型
Optional. This setting will be used to filter in various transactions.,可選。此設置將被應用於各種交易進行過濾。
Order Type,訂單類型
Ordered,訂購
Ordered Items To Be Billed,訂購物品被標榜
Ordered Items To Be Delivered,訂購項目交付
Ordered Qty,訂購數量
"Ordered Qty: Quantity ordered for purchase, but not received.",訂購數量：訂購數量的報價，但沒有收到。
Ordered Quantity,訂購數量
Orders released for production.,發布生產訂單。
Organization,組織
Organization Name,組織名稱
Organization User,組織簡介
Other,其他
Other Details,其他詳細信息
Out Qty,輸出數量
Out Value,出價值
Out of AMC,出資產管理公司
Out of Warranty,超出保修期
Outgoing,傳出
Outgoing Email Settings,傳出電子郵件設置
Outgoing Mail Server,發送郵件服務器
Outgoing Mails,傳出郵件
Outstanding Amount,未償還的金額
Outstanding for Voucher ,傑出的優惠券
Overhead,開銷
Overheads,費用
Overlapping Conditions found between,指定業務，營業成本和提供一個獨特的操作沒有給你的操作。
Overview,概觀
Owned,資
Owner,業主
PAN Number,潘號碼
PF No.,PF號
PF Number,PF數
PI/2011/,PI/2011 /
PIN,密碼
PL or BS,PL或BS
PO,PO
PO Date,PO日期
PO No,訂單號碼
POP3 Mail Server,POP3郵件服務器
POP3 Mail Settings,POP3郵件設定
POP3 mail server (e.g. pop.gmail.com),POP3郵件服務器（如：pop.gmail.com）
POP3 server e.g. (pop.gmail.com),POP3服務器如（pop.gmail.com）
POS Setting,POS機設置
POS View,POS機查看
PR Detail,PR詳細
PR Posting Date,公關寄發日期
PRO,PRO
PS,PS
Package Item Details,包裝物品詳情
Package Items,包裝產品
Package Weight Details,包裝重量詳情
Packed Item,盒裝產品
Packing Details,裝箱明細
Packing Detials,包裝往績詳情
Packing List,包裝清單
Packing Slip,裝箱單
Packing Slip Item,裝箱單項目
Packing Slip Items,裝箱單項目
Packing Slip(s) Cancelled,裝箱單（S）已註銷
Page Break,分頁符
Page Name,網頁名稱
Paid,支付
Paid Amount,支付的金額
Parameter,參數
Parent Account,父帳戶
Parent Cost Center,父成本中心
Parent Customer Group,母公司集團客戶
Parent Detail docname,家長可採用DocName細節
Parent Item,父項目
Parent Item Group,父項目組
Parent Sales Person,母公司銷售人員
Parent Territory,家長領地
Parenttype,Parenttype
Partially Billed,部分帳單
Partially Completed,部分完成
Partially Delivered,部分交付
Partly Billed,天色帳單
Partly Delivered,部分交付
Partner Target Detail,合作夥伴目標詳細信息
Partner Type,合作夥伴類型
Partner's Website,合作夥伴的網站
Passive,被動
Passport Number,護照號碼
Password,密碼
Pay To / Recd From,支付/ RECD從
Payables,應付賬款
Payables Group,集團的應付款項
Payment Days,金天
Payment Due Date,付款到期日
Payment Entries,付款項
"Payment Entry has been modified after you pulled it. 
			Please pull it again.",
Payment Period Based On Invoice Date,已經提交。
Payment Reconciliation,付款對賬
Payment Type,針對選擇您要分配款項的發票。
Payment of salary for the month: ,
Payment to Invoice Matching Tool,付款發票匹配工具
Payment to Invoice Matching Tool Detail,付款發票匹配工具詳細介紹
Payments,付款
Payments Made,支付的款項
Payments Received,收到付款
Payments made during the digest period,在消化期間支付的款項
Payments received during the digest period,在消化期間收到付款
Payroll Settings,薪資設置
Payroll Setup,薪資設定
Pending,有待
Pending Amount,待審核金額
Pending Review,待審核
Pending SO Items For Purchase Request,待處理的SO項目對於採購申請
Percent Complete,完成百分比
Percentage Allocation,百分比分配
Percentage Allocation should be equal to ,百分比分配應等於
Percentage variation in quantity to be allowed while receiving or delivering this item.,同時接收或傳送資料被允許在數量上的變化百分比。
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,百分比你被允許接收或傳遞更多針對訂購的數量。例如：如果您訂購100個單位。和你的津貼是10％，那麼你被允許接收110個單位。
Performance appraisal.,績效考核。
Period,期
Period Closing Voucher,期末券
Periodicity,週期性
Permanent Address,永久地址
Permanent Address Is,永久地址
Permission,允許
Permission Manager,權限管理
Personal,個人
Personal Details,個人資料
Personal Email,個人電子郵件
Phone,電話
Phone No,電話號碼
Phone No.,電話號碼
Pincode,PIN代碼
Place of Issue,簽發地點
Plan for maintenance visits.,規劃維護訪問。
Planned Qty,計劃數量
"Planned Qty: Quantity, for which, Production Order has been raised,",計劃數量：數量，為此，生產訂單已經提高，
Planned Quantity,計劃數量
Plant,廠
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,請輸入縮寫或簡稱恰當，因為它會被添加為後綴的所有帳戶頭。
Please Select Company under which you want to create account head,請選擇公司要在其下創建賬戶頭
Please check,請檢查
Please create new account from Chart of Accounts.,請從科目表創建新帳戶。
Please do NOT create Account (Ledgers) for Customers and Suppliers. They are created directly from the Customer / Supplier masters.,請不要用於客戶及供應商建立的帳戶（總帳）。他們直接從客戶/供應商創造的主人。
Please enter Company,你不能輸入行沒有。大於或等於當前行沒有。這種充電式
Please enter Cost Center,請輸入成本中心
Please enter Default Unit of Measure,請輸入缺省的計量單位
Please enter Delivery Note No or Sales Invoice No to proceed,請輸入送貨單號或銷售發票號碼進行
Please enter Employee Id of this sales parson,請輸入本銷售牧師的員工標識
Please enter Expense Account,請輸入您的費用帳戶
Please enter Item Code to get batch no,請輸入產品編號，以獲得批號
Please enter Item Code.,請輸入產品編號。
Please enter Item first,沒有客戶或供應商帳戶發現。賬戶是根據\確定
Please enter Master Name once the account is created.,請輸入主名稱，一旦該帳戶被創建。
Please enter Production Item first,請先輸入生產項目
Please enter Purchase Receipt No to proceed,請輸入外購入庫單沒有進行
Please enter Reserved Warehouse for item ,請輸入預留倉庫的項目
Please enter Start Date and End Date,請輸入開始日期和結束日期
Please enter Warehouse for which Material Request will be raised,請重新拉。
"Please enter account group under which account \
					for warehouse ",
Please enter company first,請先輸入公司
Please enter company name first,請先輸入公司名稱
Please enter sales order in the above table,小於等於零系統，估值率是強制性的資料
Please install dropbox python module,請安裝Dropbox的Python模塊
Please mention default value for ',請提及默認值&#39;
Please reduce qty.,請減少數量。
Please save the Newsletter before sending.,請發送之前保存的通訊。
Please save the document before generating maintenance schedule,9 。考慮稅收或支出：在本部分中，您可以指定，如果稅務/充電僅適用於估值（總共不一部分） ，或只為總（不增加價值的項目） ，或兩者兼有。
Please select Account first,請先選擇賬戶
Please select Bank Account,請選擇銀行帳戶
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,請選擇結轉，如果你還需要包括上一會計年度的資產負債葉本財年
Please select Category first,屬性是相同的兩個記錄。
Please select Charge Type first,預計日期不能前材料申請日期
Please select Date on which you want to run the report,請選擇您要運行報告日期
Please select Price List,請選擇價格表
Please select a,請選擇一個
Please select a csv file,請選擇一個csv文件
Please select a service item or change the order type to Sales.,請選擇服務項目，或更改訂單類型銷售。
Please select a sub-contracted item or do not sub-contract the transaction.,請選擇一個分包項目或不分包交易。
Please select a valid csv file with data.,請選擇與數據的有效csv文件。
"Please select an ""Image"" first",請選擇“圖像”第一
Please select month and year,請選擇年份和月份
Please select options and click on Create,請選擇選項並點擊Create
Please select the document type first,請選擇文檔類型第一
Please select: ,請選擇：
Please set Dropbox access keys in,請設置Dropbox的訪問鍵
Please set Google Drive access keys in,請設置谷歌驅動器的訪問鍵
Please setup Employee Naming System in Human Resource > HR Settings,請設置員工命名系統中的人力資源&gt;人力資源設置
Please setup your chart of accounts before you start Accounting Entries,請設置您的會計科目表你開始會計分錄前
Please specify,請註明
Please specify Company,請註明公司
Please specify Company to proceed,請註明公司進行
"Please specify Default Currency in Company Master \
			and Global Defaults",
Please specify a,請指定一個
Please specify a Price List which is valid for Territory,請指定一個價格表，有效期為領地
Please specify a valid,請指定一個有效
Please specify a valid 'From Case No.',請指定一個有效的“從案號”
Please specify currency in Company,請公司指定的貨幣
Please submit to update Leave Balance.,請提交更新休假餘額。
Please write something,請寫東西
Please write something in subject and message!,請寫東西的主題和消息！
Plot,情節
Plot By,陰謀
Point of Sale,銷售點
Point-of-Sale Setting,銷售點的設置
Post Graduate,研究生
Postal,郵政
Posting Date,發布日期
Posting Date Time cannot be before,發文日期時間不能前
Posting Time,發布時間
Potential Sales Deal,潛在的銷售新政
Potential opportunities for selling.,潛在的機會賣。
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3",精度浮點字段（數量，折扣，百分比等）。花車將四捨五入到指定的小數。默認值= 3
Preferred Billing Address,首選帳單地址
Preferred Shipping Address,首選送貨地址
Prefix,字首
Present,現
Prevdoc DocType,Prevdoc的DocType
Prevdoc Doctype,Prevdoc文檔類型
Previous Work Experience,以前的工作經驗
Price List,價格表
Price List Currency,價格表貨幣
Price List Exchange Rate,價目表匯率
Price List Master,價格表主
Price List Name,價格列表名稱
Price List Rate,價格列表費率
Price List Rate (Company Currency),價格列表費率（公司貨幣）
Print,打印
Print Format Style,打印格式樣式
Print Heading,打印標題
Print Without Amount,打印量不
Printing,印花
Priority,優先
Process Payroll,處理工資
Produced,生產
Produced Quantity,生產的產品數量
Product Enquiry,產品查詢
Production Order,生產訂單
Production Order must be submitted,生產訂單必須提交
Production Order(s) created:\n\n,生產訂單（次）創建： \ n \ n已
Production Orders,生產訂單
Production Orders in Progress,在建生產訂單
Production Plan Item,生產計劃項目
Production Plan Items,生產計劃項目
Production Plan Sales Order,生產計劃銷售訂單
Production Plan Sales Orders,生產計劃銷售訂單
Production Planning (MRP),生產計劃（MRP）
Production Planning Tool,生產規劃工具
Products or Services You Buy,產品或服務您選購
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.",產品將重量年齡在默認搜索排序。更多的重量，年齡，更高的產品會出現在列表中。
Project,項目
Project Costing,項目成本核算
Project Details,項目詳情
Project Milestone,項目里程碑
Project Milestones,項目里程碑
Project Name,項目名稱
Project Start Date,項目開始日期
Project Type,項目類型
Project Value,項目價值
Project activity / task.,項目活動/任務。
Project master.,項目主。
Project will get saved and will be searchable with project name given,項目將得到保存，並會搜索與項目名稱定
Project wise Stock Tracking,項目明智的庫存跟踪
Projected,預計
Projected Qty,預計數量
Projects,項目
Prompt for Email on Submission of,提示電子郵件的提交
Provide email id registered in company,提供的電子郵件ID在公司註冊
Public,公
Pull Payment Entries,拉付款項
Pull sales orders (pending to deliver) based on the above criteria,基於上述標準拉銷售訂單（待定提供）
Purchase,採購
Purchase / Manufacture Details,採購/製造詳細信息
Purchase Analytics,購買Analytics（分析）
Purchase Common,購買普通
Purchase Details,購買詳情
Purchase Discounts,購買折扣
Purchase In Transit,購買運輸
Purchase Invoice,購買發票
Purchase Invoice Advance,購買發票提前
Purchase Invoice Advances,採購發票進展
Purchase Invoice Item,採購發票項目
Purchase Invoice Trends,購買發票趨勢
Purchase Order,採購訂單
Purchase Order Date,採購訂單日期
Purchase Order Item,採購訂單項目
Purchase Order Item No,採購訂單編號
Purchase Order Item Supplied,採購訂單項目提供
Purchase Order Items,採購訂單項目
Purchase Order Items Supplied,採購訂單項目提供
Purchase Order Items To Be Billed,採購訂單的項目被標榜
Purchase Order Items To Be Received,採購訂單項目可收
Purchase Order Message,採購訂單的消息
Purchase Order Required,購貨訂單要求
Purchase Order Trends,採購訂單趨勢
Purchase Orders given to Suppliers.,購買給供應商的訂單。
Purchase Receipt,外購入庫單
Purchase Receipt Item,採購入庫項目
Purchase Receipt Item Supplied,採購入庫項目提供
Purchase Receipt Item Supplieds,採購入庫項目Supplieds
Purchase Receipt Items,採購入庫項目
Purchase Receipt Message,外購入庫單信息
Purchase Receipt No,購買收據號碼
Purchase Receipt Required,外購入庫單要求
Purchase Receipt Trends,購買收據趨勢
Purchase Register,購買註冊
Purchase Return,採購退貨
Purchase Returned,進貨退出
Purchase Taxes and Charges,購置稅和費
Purchase Taxes and Charges Master,購置稅及收費碩士
Purpose,目的
Purpose must be one of ,目的必須是一個
QA Inspection,質素保證視學
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,數量
Qty Consumed Per Unit,數量消耗每單位
Qty To Manufacture,數量製造
Qty as per Stock UOM,數量按庫存計量單位
Qty to Deliver,數量交付
Qty to Order,數量訂購
Qty to Receive,數量來接收
Qty to Transfer,數量轉移到
Qualification,合格
Quality,質量
Quality Inspection,質量檢驗
Quality Inspection Parameters,質量檢驗參數
Quality Inspection Reading,質量檢驗閱讀
Quality Inspection Readings,質量檢驗讀物
Quantity,數量
Quantity Requested for Purchase,需求數量的購買
Quantity and Rate,數量和速率
Quantity and Warehouse,數量和倉庫
Quantity cannot be a fraction.,量不能是一小部分。
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,製造/從原材料數量給予重新包裝後獲得的項目數量
"Quantity should be equal to Manufacturing Quantity. To fetch items again, click on 'Get Items' button or update the Quantity manually.",數量應等於生產數量。再取物品，點擊“獲取信息”按鈕或手動更新的數量。
Quarter,季
Quarterly,季刊
Quick Help,快速幫助
Quotation,行情
Quotation Date,報價日期
Quotation Item,產品報價
Quotation Items,報價產品
Quotation Lost Reason,報價遺失原因
Quotation Message,報價信息
Quotation Series,系列報價
Quotation To,報價要
Quotation Trend,行情走勢
Quotation is cancelled.,報價將被取消。
Quotations received from Suppliers.,從供應商收到的報價。
Quotes to Leads or Customers.,行情到引線或客戶。
Raise Material Request when stock reaches re-order level,提高材料時，申請股票達到再訂購水平
Raised By,提出
Raised By (Email),提出（電子郵件）
Random,隨機
Range,範圍
Rate,率
Rate ,率
Rate (Company Currency),率（公司貨幣）
Rate Of Materials Based On,率材料的基礎上
Rate and Amount,率及金額
Rate at which Customer Currency is converted to customer's base currency,速率客戶貨幣轉換成客戶的基礎貨幣
Rate at which Price list currency is converted to company's base currency,速率價目表貨幣轉換為公司的基礎貨幣
Rate at which Price list currency is converted to customer's base currency,速率價目表貨幣轉換成客戶的基礎貨幣
Rate at which customer's currency is converted to company's base currency,速率客戶的貨幣轉換為公司的基礎貨幣
Rate at which supplier's currency is converted to company's base currency,速率供應商的貨幣轉換為公司的基礎貨幣
Rate at which this tax is applied,速率此稅適用
Raw Material Item Code,原料產品編號
Raw Materials Supplied,提供原料
Raw Materials Supplied Cost,原料提供成本
Re-Order Level,再訂購水平
Re-Order Qty,重新訂購數量
Re-order,重新排序
Re-order Level,再訂購水平
Re-order Qty,再訂購數量
Read,閱讀
Reading 1,閱讀1
Reading 10,閱讀10
Reading 2,閱讀2
Reading 3,閱讀3
Reading 4,4閱讀
Reading 5,閱讀5
Reading 6,6閱讀
Reading 7,7閱讀
Reading 8,閱讀8
Reading 9,9閱讀
Reason,原因
Reason for Leaving,離職原因
Reason for Resignation,原因辭職
Reason for losing,原因丟失
Recd Quantity,RECD數量
Receivable / Payable account will be identified based on the field Master Type,應收/應付帳款的帳戶將基於字段碩士識別
Receivables,應收賬款
Receivables / Payables,應收/應付賬款
Receivables Group,應收賬款集團
Received,收到
Received Date,收稿日期
Received Items To Be Billed,收到的項目要被收取
Received Qty,收到數量
Received and Accepted,收到並接受
Receiver List,接收器列表
Receiver Parameter,接收機參數
Recipients,受助人
Reconciliation Data,數據對賬
Reconciliation HTML,和解的HTML
Reconciliation JSON,JSON對賬
Record item movement.,記錄項目的運動。
Recurring Id,經常性標識
Recurring Invoice,經常性發票
Recurring Type,經常性類型
Reduce Deduction for Leave Without Pay (LWP),減少扣除停薪留職（LWP）
Reduce Earning for Leave Without Pay (LWP),降低盈利停薪留職（LWP）
Ref Code,參考代碼
Ref SQ,參考SQ
Reference,參考
Reference Date,參考日期
Reference Name,參考名稱
Reference Number,參考號碼
Refresh,刷新
Refreshing....,清爽....
Registration Details,報名詳情
Registration Info,註冊信息
Rejected,拒絕
Rejected Quantity,拒絕數量
Rejected Serial No,拒絕序列號
Rejected Warehouse,拒絕倉庫
Rejected Warehouse is mandatory against regected item,拒絕倉庫是必須反對regected項目
Relation,關係
Relieving Date,解除日期
Relieving Date of employee is ,減輕員工的日期是
Remark,備註
Remarks,備註
Rename,重命名
Rename Log,重命名日誌
Rename Tool,重命名工具
Rent Cost,租金成本
Rent per hour,每小時租
Rented,租
Repeat on Day of Month,重複上月的日
Replace,更換
Replace Item / BOM in all BOMs,更換項目/物料清單中的所有材料明細表
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM",在它被使用的所有其他的BOM替換特定的物料清單。它會取代舊的BOM鏈接，更新成本，並重新生成“物料清單爆炸物品”表按照新的物料清單
Replied,回答
Report Date,報告日期
Report issues at,在報告問題
Reports,報告
Reports to,報告以
Reqd By Date,REQD按日期
Request Type,請求類型
Request for Information,索取資料
Request for purchase.,請求您的報價。
Requested,要求
Requested For,對於要求
Requested Items To Be Ordered,要求項目要訂購
Requested Items To Be Transferred,要求要傳輸的項目
Requested Qty,請求數量
"Requested Qty: Quantity requested for purchase, but not ordered.",要求的數量：數量要求的報價，但沒有下令。
Requests for items.,請求的項目。
Required By,必選
Required Date,所需時間
Required Qty,所需數量
Required only for sample item.,只對樣品項目所需。
Required raw materials issued to the supplier for producing a sub - contracted item.,發給供應商，生產子所需的原材料 - 承包項目。
Reseller,經銷商
Reserved,保留的
Reserved Qty,保留數量
"Reserved Qty: Quantity ordered for sale, but not delivered.",版權所有數量：訂購數量出售，但未交付。
Reserved Quantity,保留數量
Reserved Warehouse,保留倉庫
Reserved Warehouse in Sales Order / Finished Goods Warehouse,在銷售訂單/成品倉庫保留倉庫
Reserved Warehouse is missing in Sales Order,保留倉庫在銷售訂單失踪
Reset Filters,重設過濾器
Resignation Letter Date,辭職信日期
Resolution,決議
Resolution Date,決議日期
Resolution Details,詳細解析
Resolved By,議決
Retail,零售
Retailer,零售商
Review Date,評論日期
Rgt,RGT
Role Allowed to edit frozen stock,角色可以編輯凍結股票
Role that is allowed to submit transactions that exceed credit limits set.,作用是允許提交超過設定信用額度交易的。
Root cannot have a parent cost center,根本不能有一個父成本中心
Rounded Total,總圓角
Rounded Total (Company Currency),圓潤的總計（公司貨幣）
Row,排
Row ,排
Row #,行＃
Row # ,行＃
Rules to calculate shipping amount for a sale,規則來計算銷售運輸量
S.O. No.,SO號
SMS,短信
SMS Center,短信中心
SMS Control,短信控制
SMS Gateway URL,短信網關的URL
SMS Log,短信日誌
SMS Parameter,短信參數
SMS Sender Name,短信發送者名稱
SMS Settings,短信設置
SMTP Server (e.g. smtp.gmail.com),SMTP服務器（如smtp.gmail.com）
SO,SO
SO Date,SO日期
SO Pending Qty,SO待定數量
SO Qty,SO數量
SO/10-11/,SO/10-11 /
SO1112,SO1112
SQTN,SQTN
STE,STE
SUP,SUP
SUPP,人聯黨
SUPP/10-11/,SUPP/10-11 /
Salary,薪水
Salary Information,薪資信息
Salary Manager,薪資管理
Salary Mode,薪酬模式
Salary Slip,工資單
Salary Slip Deduction,工資單上扣除
Salary Slip Earning,工資單盈利
Salary Structure,薪酬結構
Salary Structure Deduction,薪酬結構演繹
Salary Structure Earning,薪酬結構盈利
Salary Structure Earnings,薪酬結構盈利
Salary breakup based on Earning and Deduction.,工資分手基於盈利和演繹。
Salary components.,工資組成部分。
Sales,銷售
Sales Analytics,銷售分析
Sales BOM,銷售BOM
Sales BOM Help,銷售BOM幫助
Sales BOM Item,銷售BOM項目
Sales BOM Items,銷售BOM項目
Sales Details,銷售信息
Sales Discounts,銷售折扣
Sales Email Settings,銷售電子郵件設置
Sales Extras,額外銷售
Sales Funnel,銷售漏斗
Sales Invoice,銷售發票
Sales Invoice Advance,銷售發票提前
Sales Invoice Item,銷售發票項目
Sales Invoice Items,銷售發票項目
Sales Invoice Message,銷售發票信息
Sales Invoice No,銷售發票號碼
Sales Invoice Trends,銷售發票趨勢
Sales Order,銷售訂單
Sales Order Date,銷售訂單日期
Sales Order Item,銷售訂單項目
Sales Order Items,銷售訂單項目
Sales Order Message,銷售訂單信息
Sales Order No,銷售訂單號
